Company,% Change
POCL Enterprises,+28.49
Ginni Filaments,+28.48
KPIT Technologies,+28.42
Maithan Alloys Ltd.,+28.36
Skipper Ltd.,+28.33
Tata Consumer Produc,+28.31
Suven Life Sciences,+28.25
Indo Rama Synth.,+28.23
Mangalam Timber,+28.22
Valiant Communic,+28.21
Steel ExchangeIndia,+28.17
SV Global Mill Ltd.,+28.16
Godrej Industries Lt,+28.00
Universus Photo Imag,+27.98
Dhampure Specialty S,+27.97
Suyog Telematics,+27.94
Paramount Commun,+27.94
Blue Star,+27.90
SAL Steel,+27.86
Everest Organics,+27.69
India Nippon Ele,+27.69
Vikas Ecotech L,+27.63
NHC Foods,+27.52
Shukra Pharma,+27.46
TeamLease Service,+27.33
Diana Tea Compan,+27.26
Delta Corp Ltd.,+27.24
Sanghi Industrie,+27.19
Panama Petrochem,+27.16
Intrasoft Technologi,+27.13
Sterlite Technologie,+27.09
Sandur M & I Ore,+27.07
SE Power,+27.06
Phillips Carbon,+27.06
ISF Ltd.,+26.92
Oswal Green Tech,+26.81
Shah Alloys,+26.79
Arihant Capital,+26.77
Sharda Motor Ind,+26.76
Almondz Global Secur,+26.75
Vardhman Special St,+26.74
APM Finvest,+26.72
Redington (India) Lt,+26.70
Scan Steels,+26.62
Gokaldas Exports,+26.60
Majesco L,+26.56
Anuroop Packaging Lt,+26.38
IST Ltd.,+26.36
HT Media,+26.31
Alexander Stamps,+26.27
Uflex Ltd.,+26.07
JTEKT India,+26.05
Commercial Engineers,+26.03
Techindia Nirman Ltd,+26.01
OCL Iron & Steel,+25.96
Prakash Pipes,+25.93
Ganga Papers India L,+25.92
Precision Wires,+25.89
Inox Leisure,+25.86
Lasa Supergenerics,+25.84
Gabriel India,+25.78
Firstsource Solution,+25.74
Lovable Lingerie Ltd,+25.73
Alps Industries,+25.69
IFB Industries,+25.67
Tube Investments,+25.58
Auro Labs,+25.58
CMI L,+25.57
High Energy Bat.,+25.51
Vaibhav Global,+25.49
Pearl Global Industr,+25.22
Music Broadcast,+25.16
GNA Axles,+25.15
Mold-Tek Packaging,+25.05
Premier Synth.,+25.00
Ram Ratna Wires,+24.92
Indag Rubber,+24.90
Mystic Electronics,+24.88
Arihant Superstructu,+24.82
GE T&D India,+24.76
