Company,% Change
Seya Industries,-0.4
Eris Lifesciences,-0.4
Wheels India Ltd.,-0.38
Reliance Infrastruct,-0.36
Ashari Agencies,-0.33
Mahi. & Mahi,-0.32
Ecoplast L,-0.28
Mohit Industries,-0.28
IOL Chemicals and Ph,-0.28
Religare Enterprises,-0.26
BGR Energy Systems,-0.25
GP Petroleums,-0.24
SPIC,-0.24
Sri Rama. Mills (Coi,-0.24
GAIL (India) Ltd.,-0.21
Seshasayee Paper,-0.1
Vista Pharmaceut,-0.09
Shri Jagdamba Poly,-0.05
