Company,% Change
Ganesha Ecosphere,-6.83
TVS Electronics,-6.82
Karda Constructions,-6.81
Puravankara,-6.8
Global Vectra Helico,-6.79
Enkei Wheels (India),-6.79
Shipping Corpn.,-6.77
Trigyn Technolog,-6.77
Pix Transmission,-6.77
Garware Tech. Fibres,-6.76
Star Paper Mills,-6.76
GEE Ltd.,-6.75
Neuland Laborat,-6.75
Somany Ceramics Ltd.,-6.74
Finolex Cables,-6.73
Spencer's Retail,-6.73
Cigniti Technologies,-6.72
Hercules Hoists,-6.72
RPP Infra Projects L,-6.7
Inox Wind Ltd.,-6.68
GFL L,-6.68
Binny Ltd.,-6.66
Automotive Axles,-6.64
Shree Renuka Sugars,-6.64
Hisar Metal Indu,-6.64
Mangalore Chem.,-6.64
Arvind SmartSpaces,-6.63
Sangam Renewables,-6.63
Munjal Auto Industr.,-6.62
Fine Organic Indus,-6.62
Jet Airways,-6.61
Apar Industries,-6.6
Colinz Laborator,-6.59
Indraprastha Med,-6.58
Pioneer Emb.,-6.58
Minda Corporation,-6.57
Dhanalaxmi Roto,-6.57
MMTC Ltd.,-6.55
Manaksia Steels,-6.54
Sacheta Metals L,-6.54
AXISCADES Engineer,-6.54
Tinna Rubber and Inf,-6.54
Khadim India,-6.53
Monnet Ispat & Energ,-6.53
IFCI Ltd.,-6.53
Xelpmoc Design and T,-6.51
Jupiter Infomedia Lt,-6.5
Linde India,-6.49
Kabra Extrusion,-6.49
Jay Bharat Marut,-6.48
A2Z Infra Engineer,-6.48
Jindal Photo,-6.47
Indo National,-6.45
Sadhana Nitro,-6.43
Uniply Industries,-6.43
Eimco Elecon Ind,-6.42
Hinduja Global Solut,-6.42
Rushil Decor Ltd.,-6.41
Repro India Ltd.,-6.41
Videocon Industries,-6.4
Mishra Dhatu Nig,-6.4
Clariant Chemicals (,-6.39
State Trading,-6.38
Excel Industries,-6.38
Rane Brake Lining Lt,-6.36
KNR Constructions,-6.35
Atul Auto Ltd,-6.33
Triveni Eng.&Ind.Ltd,-6.32
J B Chemicals & Phar,-6.32
Fundviser Capital,-6.31
Srikalahasthi Pipes,-6.31
Maral Overseas,-6.29
Madras Fertilize,-6.28
Garden Reach Ship,-6.27
Coastal Corporation,-6.26
Syngene Internationa,-6.26
Tilaknagar Industrie,-6.25
Chandra Prabhu I,-6.25
Reliance Infrastruct,-6.25
SREI Infrastructure,-6.24
Shree Cement,-6.23
Speciality Restauran,-6.23
Aurobindo Pharma,-6.23
Fineotex Chemical Lt,-6.23
Kokuyo Camlin,-6.21
Xchanging Solutions,-6.15
Shri Bajrang Allianc,-6.14
Kavita Fabrics Ltd.,-6.14
Apcotex Industries L,-6.13
Mohite Industries,-6.12
HG Infra Engineering,-6.11
Sundaram Fasten.,-6.1
Chambal Fertilis,-6.1
Orient Refractories,-6.07
HSIL Ltd.,-6.06
Heidelberg Cement In,-6.05
Burnpur Cement Ltd.,-6.04
S H Kelkar & Company,-6.02
Twinstar Industries,-6.02
PG Electroplast Ltd.,-6.01
Whirlpool of Ind,-5.99
Gayatri Projects,-5.99
Vindhya Telelink,-5.99
JBF Industries,-5.99
De Nora India Ltd.,-5.98
Guj. Industries,-5.98
INEOS Styrolution,-5.98
Andhra Cement,-5.98
GRP L,-5.97
Nahar Spg Mills,-5.96
Foods & Inns,-5.96
Triton Valves,-5.95
Den Networks Ltd.,-5.93
Kama Holdings Ltd.,-5.93
J L Morison (India),-5.92
Allsec Technologies,-5.91
Seya Industries,-5.91
Hikal Ltd.,-5.9
North Eastern Carry,-5.89
Kuantum Papers,-5.88
NCC,-5.87
Bharat Rasayan,-5.87
Apollo TriCoat Tubes,-5.87
Borosil Renewables,-5.87
APM Industries,-5.87
CSB Bank,-5.86
Kwality,-5.85
Veto Switchgears & C,-5.84
UltraTech Cement,-5.83
Lincoln Pharmace,-5.82
Goodluck India,-5.81
Brooks Laboratories,-5.81
Sudarshan Chem.,-5.81
Vaibhav Global,-5.81
Machino Plastics,-5.79
Havells India,-5.78
Page Industries Ltd.,-5.78
Bodal Chemicals,-5.77
Dredging Corpora,-5.77
Ebixcash World Money,-5.76
Damodar Industries,-5.75
Kiri Industries,-5.75
Prakash Wool.& Syn.,-5.73
Redington (India) Lt,-5.72
Vesuvius India,-5.72
GE T&D India,-5.69
Share India Securiti,-5.69
Compucom Softwr,-5.68
Cochin Minerals,-5.67
Modulex Construction,-5.67
Mauria Udyog,-5.66
HUDCO,-5.65
TTK Healthcare Ltd.,-5.65
Prime Focus,-5.64
KSB Ltd,-5.63
Anik Industries,-5.62
Setubandhan Infra,-5.62
Monte Carlo Fashions,-5.61
Tide Water Oil,-5.61
Tirupati Sarjan,-5.6
Parle Industries,-5.59
Deepak Nitrite,-5.59
Indo Amines Limi,-5.58
Rajesh Exports L,-5.57
Kennametal India,-5.57
Orient Green Power C,-5.56
Wintac Ltd.,-5.56
Hatsun Agro Prod,-5.55
FACT,-5.54
Tin Plate Co.,-5.54
Welspun Corp,-5.53
GSFC,-5.53
Yash Pakka,-5.53
Confidence Petroleum,-5.53
Solara Active Pharma,-5.52
Himachal Fibres,-5.51
Parag Milk Foods,-5.51
Bhandari Hosiery,-5.51
Ugro Capital,-5.5
Emami Realty,-5.5
Kabsons Industries,-5.49
Prism Johnson,-5.48
Caprolactam Chemical,-5.48
Aksh Optifibre,-5.47
Tanla Solutions,-5.47
Jai Corp Ltd.,-5.46
Spandana Sphoorty Fi,-5.46
Sayaji Industries,-5.46
Jubilant Life Scienc,-5.46
Sagar Cements,-5.46
Mangalam Drugs,-5.45
MBL Infrastructures,-5.44
Gujarat Apollo Indus,-5.44
Indian Hume Pipe,-5.43
The Andhra Sugars,-5.43
D B Realty Ltd.,-5.43
N R Agarwal Indu,-5.41
Arrow Greentech,-5.41
Mukand Ltd.,-5.41
Darjeeling Ropeway,-5.41
VLS Finance L,-5.41
GujaratStatePetronet,-5.4
Camlin Fine Sciences,-5.4
Donear Industrie,-5.39
Sarup Industries,-5.39
The Indian Wood Prod,-5.38
Excel Realty N Infra,-5.38
McLeod Russel,-5.38
Affle (India),-5.37
Hind. Petrol,-5.37
Hasti Finance Li,-5.36
Uflex Ltd.,-5.35
Sahyadri Industries,-5.35
Electrosteel Cas,-5.35
DCW Ltd.,-5.35
Sanghvi Brands,-5.34
Katare Spg. Mill,-5.34
TRF Ltd,-5.34
Ecoplast L,-5.33
Archies Ltd.,-5.33
Bartronics India Ltd,-5.33
Navkar Corporation L,-5.33
Narbada Gems & Jewel,-5.33
Lovable Lingerie Ltd,-5.31
CJ Gelatine,-5.31
Agro Tech Foods Ltd.,-5.3
Sai Baba Investment,-5.3
Sanwaria Consumer,-5.29
Gujarat Pipavav Port,-5.29
NLC India L,-5.28
Keltech Energies,-5.28
Au Small Finance Ban,-5.27
Alchemist Realty,-5.26
MosChip Technologies,-5.26
Suryachakra Power Co,-5.26
Parnax Lab L,-5.25
CESC Ltd.,-5.25
DIC India,-5.25
Great Eastern,-5.23
Dewan Housing,-5.23
Carborundum Uni.,-5.22
Sunil Agro Foods,-5.22
Nitin Spinners,-5.22
Walchandnagar,-5.2
Eldeco Housing &,-5.19
Hardcastle & Waud,-5.18
Shivam Autotech Ltd.,-5.18
Everest Industries L,-5.18
Shalimar Wires Ind.,-5.17
Oriental Trimex,-5.17
Rail Vikas Nigam,-5.16
Delta Corp Ltd.,-5.16
Kalyani Investment,-5.15
Delton Cables,-5.14
Adani Power Ltd.,-5.13
