Company,% Change
Panacea Biotec L,+1.69
Radico Khaitan Ltd.,+1.69
Govind Rubber,+1.69
Auro Labs,+1.68
Texmo Pipes & Produc,+1.68
Jay Bharat Marut,+1.68
Lahoti Overseas,+1.67
Hindustan Bio Scienc,+1.67
Great Eastern,+1.67
Confidence Finance,+1.67
Tokyo Plast Inte,+1.67
Emami Ltd.,+1.66
India Motor Part,+1.65
Britannia Ind.,+1.65
Bharat Electroni,+1.65
PNC Infratech,+1.65
Mahindra CIE Auto,+1.64
DLF Ltd.,+1.64
Balasore Alloys,+1.63
Rishi Techtex,+1.61
Samkrg Pistons & Rin,+1.61
Axon Ventures,+1.61
UTL Industries,+1.61
Himatsingka Seid,+1.60
Phoenix Mills,+1.60
Fine Organic Indus,+1.60
King Infra Ventures,+1.59
Lokesh Machines,+1.58
Havells India,+1.58
Kirloskar Oil Engine,+1.58
SPEL Semiconduct,+1.57
JTEKT India,+1.56
Swan Energy Ltd.,+1.55
Nava Bharat Ventures,+1.55
Bharat Agri Fert & R,+1.54
Info Edge (India),+1.54
GBL Industries,+1.54
Bharat Forge,+1.54
Sharda Cropchem,+1.53
Ganesh Benzoplas,+1.53
S H Kelkar & Company,+1.52
Century Extru.,+1.52
Jamna Auto Inds.,+1.51
AstraZeneca Pharma I,+1.50
CARE Ratings,+1.50
Grasim Inds.,+1.50
STL Global Ltd.,+1.50
GMR Infrastructure L,+1.49
Pfizer Ltd.,+1.48
Cera Sanitaryware L,+1.47
AMD Industries Ltd.,+1.47
Lords Chloro Alkali,+1.47
P G Foils Ltd,+1.47
JSW Energy Ltd.,+1.46
S R Industries L,+1.46
S P Apparels Ltd.,+1.45
LIC Housing Fi,+1.45
Acrysil Ltd.,+1.45
The Andhra Sugars,+1.44
Mahindra Logistics L,+1.44
Ginni Filaments,+1.44
Lotus Chocolate,+1.43
ICICI Securities,+1.43
ACC,+1.43
RPP Infra Projects L,+1.42
Vinaditya Trading Co,+1.41
Akme Star Housing,+1.41
Tamilnadu Petroprod,+1.41
Bonlon Industries,+1.41
Ludlow Jute & Specia,+1.41
MPS Ltd.,+1.41
ITD Cementation Indi,+1.40
Pidilite Inds.,+1.39
Aditya Birla Capital,+1.39
Trescon L,+1.39
EIH Ltd.,+1.37
Asian Hotels (North),+1.37
Madhusudan Secur,+1.36
Sumitomo Chemical,+1.36
B N Rathi Securities,+1.36
Tata Power Co.,+1.36
Symphony,+1.35
HLE Glasscoat,+1.35
Automotive Axles,+1.35
Andhra Paper,+1.35
Riddhi Siddhi Gluco,+1.34
Super Sales India,+1.33
Jyoti,+1.31
Hawkins Cookers,+1.31
Marico Ltd.,+1.31
AYM Syntex,+1.31
Asian Oilfield S,+1.30
Accelya Solutions In,+1.30
Minda Corporation,+1.29
Bharat Rasayan,+1.29
AIA Engineering,+1.28
Tin Plate Co.,+1.27
Bombay Oxygen Invest,+1.27
Bengal & Assam Compa,+1.27
Repro India Ltd.,+1.27
NOCIL Ltd.,+1.27
FIEM Industries,+1.26
Ramkrishna Forgings,+1.25
Uniphos Enterprises,+1.25
Eris Lifesciences,+1.25
Easun Reyrolle L,+1.25
Honeywell Automation,+1.24
Shri Bajrang Allianc,+1.24
Kamadgiri Fashion,+1.23
Maha. Scooters,+1.23
Janus Corporation,+1.23
Rallis India,+1.22
Bampsl Securitie,+1.22
Page Industries Ltd.,+1.22
Nxtdigital L,+1.22
Rajratan Global Wire,+1.21
Setubandhan Infra,+1.20
Banaras Beads Li,+1.20
Ambuja Cements Ltd.,+1.19
Menon Pistons Li,+1.19
Adani Enterprises Lt,+1.18
Chalet Hotels L,+1.18
Sterling Tools L,+1.17
Apollo Pipes,+1.17
Praj Industries,+1.17
Symbiox Investment,+1.16
L&T Infotech,+1.16
Moneyboxx Finance,+1.16
Salzer Electr.,+1.15
HDFC Life Insurance,+1.15
T Nadu Newsprint,+1.15
Concord Drugs,+1.15
Jatalia Global Vent,+1.14
Exide Inds.,+1.13
Colgate Palm.,+1.13
TVS Srichakra Lt,+1.12
LG Balakrishnan&Bros,+1.11
Nettlinx Ltd.,+1.10
TCI Industries L,+1.10
Orient Paper,+1.10
HDFC Bank,+1.09
SBI Life Insurance,+1.09
Triton Valves,+1.08
Artemis Electricals,+1.08
Maruti Suzuki India,+1.08
Future Market Net,+1.07
Raj Television Netwo,+1.07
Bhagwati Auto.,+1.06
L&T,+1.06
Kaveri Seed Company,+1.06
Refex Industries,+1.06
PetronetLNG,+1.04
Aurobindo Pharma,+1.04
Esaar (India) Li,+1.03
BCL Industries,+1.02
Transgene Biotek,+1.01
Austin Engg. Co.,+1.01
TeleCanor Global Ltd,+1.01
Mahindra EPC Irrigat,+1.00
Continental Sec,+0.99
Entertainment Networ,+0.98
Sharda Motor Ind,+0.98
JBF Industries,+0.98
Deccan Cements,+0.96
HT Media,+0.96
BSEL Infra. Realty,+0.95
Almondz Global Secur,+0.95
Suyog Telematics,+0.94
P G Industry Ltd,+0.93
NTC Industries,+0.93
HDFC,+0.93
Murudeshwar Cer.,+0.93
Security and Intelli,+0.93
Texmaco Infrastructu,+0.93
Indo-City Infotech L,+0.92
Sagarsoft (India),+0.92
Balkrishna Ind.,+0.92
Pil Italica Lifestyl,+0.92
Timken India Ltd,+0.92
Indian Hume Pipe,+0.91
Paul Merchants,+0.91
Nelco Ltd,+0.91
Ashoka Buildcon Ltd.,+0.88
Visaka Indus.,+0.88
TV Today Network Ltd,+0.88
JBM Auto,+0.88
Ratnamani Metals,+0.88
Kajaria Ceramics,+0.87
Ajel Ltd.,+0.87
